productid,product_brand,product_name,product_category,price_inr,discount_price,percentage,currency,delivery_options,expiration_date,packaging_type,country_origin,image_url,description_1,description_2,customer_review1,customer_reviewer1,customer_review2,customer_reviewer2,customer_review3,customer_reviewer3,customer_review4,customer_reviewer4,available_size1,available_size2,available_size3,available_size4,additional_feature2,additional_feature3,additional_feature1,npk_ratio
1001,AgriBoost,Poultry Manure,Bio-Fertilizer,726,671,8,INR,Free Shipping,16-02-2026,Bottle,India,https://th.bing.com/th/id/OIG4.b7oSMQwnYYB2nhCzOJdA?pid=ImgGn,"Maximize your garden's potential with Poultry Manure, specially formulated for robust development.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Kiran,"Boosted my farm yield, excellent organic product.",Deepak,"Great for crops, enhanced soil fertility visibly.",Manish,"Worked wonders for my plants, great quality.",Neha,250grms,500g,2kgs,5kg,Improves soil structure and water retention.,"Improves soil moisture retention, reducing the need for frequent watering.","Poultry Manure guarantees optimal nutrient release, keeping plants healthy for weeks.",18:08:06
1002,EcoFert,Nitrogen Booster,Chemical Fertilizer,409,322,24,INR,Same Day Delivery,18-02-2026,Canister,India,https://th.bing.com/th/id/OIG3.K9Xw9ci7ldGBSaUuq1lZ?pid=ImgGn,"Get exceptional growth with Nitrogen Booster, your plants' best ally.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Sanjeev,"Good quality fertilizer, improved soil health significantly.",Suresh,"Impressive results, easy to apply.",Anil,"Worked wonders for my plants, great quality.",Meera,250grms,750grms,2kgs,5kg,"Ideal for all plant types, including flowers, vegetables, and lawns.",Enriched with essential nutrients for faster growth.,"Formulated for Nitrogen Booster, enhancing your soil's fertility and plant resilience.",20:08:05
1003,GreenGrow,Neem Cake Fertilizer,Chemical Fertilizer,315,285,10,INR,Free Shipping,08-04-2026,Canister,India,https://th.bing.com/th/id/OIG2.xvH8sA_oBu5i3T1ADgrX?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Neem Cake Fertilizer, your plants' best ally.","Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,My crops have never been healthier!,Meghana,Boosted plant growth significantly.,Thanuja,"Easy to use, results are visible within weeks.",Amit,250grms,750grms,1kg,5kg,Enhances root growth and strengthens plant immunity.,"Enhances soil structure, improving root growth and overall plant health.","With Neem Cake Fertilizer, enjoy healthier plants with faster root development.",16:06:04
1004,GreenGrow,Vermicompost,Chemical Fertilizer,398,367,8,INR,Same Day Delivery,29-11-2024,Bag,India,https://th.bing.com/th/id/OIG1.OBldz_cg5yhVQCygiTja?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Vermicompost, specially formulated for robust development.","Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Venkat,"Perfect for organic gardening, very effective.",Deepak,Boosted plant growth significantly.,Rajesh,"Good value for money, effective results.",Rohan,250grms,750grms,2kgs,5kg,Balances soil pH for optimal plant health.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Formulated for Vermicompost, enhancing your soil's fertility and plant resilience.",20:09:06
1005,EcoFert,Liquid Plant Tonic,Organic Fertilizer,354,267,28,INR,Same Day Delivery,30-04-2025,Canister,India,https://th.bing.com/th/id/OIG4.3BE_apt6vfLTEaw.af.u?pid=ImgGn,"Get exceptional growth with Liquid Plant Tonic, your plants' best ally.","Ensure vibrant plant life with Liquid Plant Tonic, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Neha,"Easy to use, results are visible within weeks.",Kiran,Noticeable improvement in soil fertility.,Shiva,"Impressive results, easy to apply.",Rajesh,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Formulated for Liquid Plant Tonic, enhancing your soil's fertility and plant resilience.",20:07:04
1006,EcoFert,Micronutrient Mix,Bio-Fertilizer,522,424,21,INR,Free Shipping,15-05-2025,Bottle,India,https://th.bing.com/th/id/OIG1.WgqZ3j0IJNh8fbzhOpZb?pid=ImgGn,Give your plants the nourishment they deserve with Micronutrient Mix.,"Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Kiran,"Excellent product, highly recommended!",Neha,"Impressive results, easy to apply.",Kunal,Boosted plant growth significantly.,Meera,250grms,500g,1kg,5kg,Enriched with essential nutrients for faster growth.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Formulated for Micronutrient Mix, enhancing your soil's fertility and plant resilience.",20:06:06
1007,GreenGrow,Calcium Nitrate,Chemical Fertilizer,946,887,6,INR,Standard Delivery,09-11-2026,Bag,India,https://th.bing.com/th/id/OIG3.nApzWM5cGwJdahJXZZtr?pid=ImgGn,"Get exceptional growth with Calcium Nitrate, your plants' best ally.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,"Easy to use, results are visible within weeks.",Sonal,"Good quality fertilizer, improved soil health significantly.",Kiran,"Worked wonders for my plants, great quality.",Neha,250grms,750grms,2kgs,5kg,"Improves soil moisture retention, reducing the need for frequent watering.","Safe for plants, pets, and children with natural, non-toxic ingredients.","With Calcium Nitrate, enjoy healthier plants with faster root development.",16:08:05
1008,SoilSaver,Humic Acid Fertilizer,Chemical Fertilizer,483,457,6,INR,Same Day Delivery,14-06-2026,Bag,India,https://th.bing.com/th/id/OIG3.FdVZfYnKIKR.Yh5KQVMC?pid=ImgGn,"Humic Acid Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Venkat,Boosted plant growth significantly.,Ramya,"Worked wonders for my plants, great quality.",Thanuja,"Highly effective for my garden, plants are thriving!",Kiran,250grms,750grms,2kgs,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Improves soil moisture retention, reducing the need for frequent watering.","Formulated for Humic Acid Fertilizer, enhancing your soil's fertility and plant resilience.",15:07:04
1009,AgriBoost,Granular NPK Fertilizer,Bio-Fertilizer,613,522,16,INR,Free Shipping,11-02-2025,Canister,India,https://th.bing.com/th/id/OIG4.tpLnfvVStVwRJ7sdGkYx?w=1024&h=1024&rs=1&pid=ImgDetMain,"Granular NPK Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Rahul,"Good quality fertilizer, improved soil health significantly.",Kiran,"Good value for money, effective results.",Rajesh,Boosted plant growth significantly.,Kunal,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Granular NPK Fertilizer, enhancing overall plant vitality.",16:10:04
1010,CropMax,Humic Acid Fertilizer,Chemical Fertilizer,875,815,7,INR,Standard Delivery,03-08-2026,Canister,India,https://th.bing.com/th/id/OIG4.ZXRfCYYH6yelJoldDCNj?pid=ImgGn,Give your plants the nourishment they deserve with Humic Acid Fertilizer.,"Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Manish,"Good quality fertilizer, improved soil health significantly.",Suresh,Plants look greener and healthier now.,Meera,"Worked wonders for my plants, great quality.",Anjali,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Formulated for Humic Acid Fertilizer, enhancing your soil's fertility and plant resilience.",15:08:06
